name,time,application,num_replicas,batch_size
cifar10-0,215,cifar10,6,2048
ncf-1,311,ncf,1,32768
ncf-2,424,ncf,1,32768
cifar10-3,1316,cifar10,4,512
ncf-4,1349,ncf,1,32768
cifar10-5,1717,cifar10,4,512
ncf-6,1765,ncf,1,32768
deepspeech2-7,1784,deepspeech2,6,320
ncf-8,1931,ncf,1,32768
bert-9,1963,bert,16,384
imagenet-10,2012,imagenet,12,3200
cifar10-11,3442,cifar10,6,2048
ncf-12,3449,ncf,1,32768
cifar10-13,3701,cifar10,6,2048
cifar10-14,3875,cifar10,6,2048
ncf-15,4316,ncf,1,32768
cifar10-16,4352,cifar10,4,512
cifar10-17,4391,cifar10,4,512
cifar10-18,5256,cifar10,4,512
deepspeech2-19,5510,deepspeech2,4,160
cifar10-20,5560,cifar10,4,512
ncf-21,5661,ncf,1,32768
yolov3-22,6313,yolov3,4,64
ncf-23,6477,ncf,1,32768
cifar10-24,6820,cifar10,4,512
cifar10-25,6895,cifar10,6,2048
cifar10-26,6992,cifar10,4,512
ncf-27,9139,ncf,1,32768
yolov3-28,9687,yolov3,4,64
ncf-29,10086,ncf,1,32768
ncf-30,10932,ncf,1,32768
ncf-31,11736,ncf,1,32768
ncf-32,12320,ncf,1,32768
cifar10-33,12790,cifar10,6,2048
yolov3-34,12981,yolov3,4,64
ncf-35,13071,ncf,1,32768
cifar10-36,13341,cifar10,6,2048
cifar10-37,13932,cifar10,4,512
ncf-38,14086,ncf,1,32768
cifar10-39,14269,cifar10,4,512
