name,time,application,num_replicas,batch_size
cifar10-0,365,cifar10,4,512
ncf-1,715,ncf,1,32768
ncf-2,715,ncf,1,32768
imagenet-3,749,imagenet,12,3200
cifar10-4,800,cifar10,6,2048
cifar10-5,1274,cifar10,6,2048
ncf-6,1332,ncf,1,32768
cifar10-7,1515,cifar10,4,512
ncf-8,1588,ncf,1,32768
ncf-9,1915,ncf,1,32768
imagenet-10,2995,imagenet,32,3200
ncf-11,3464,ncf,1,32768
cifar10-12,3531,cifar10,6,2048
cifar10-13,4241,cifar10,6,2048
ncf-14,4915,ncf,1,32768
ncf-15,4983,ncf,1,32768
ncf-16,5334,ncf,1,32768
ncf-17,5495,ncf,1,32768
ncf-18,5540,ncf,1,32768
bert-19,5604,bert,8,384
ncf-20,5737,ncf,1,32768
yolov3-21,5934,yolov3,4,64
cifar10-22,6421,cifar10,6,2048
cifar10-23,7504,cifar10,4,512
ncf-24,8439,ncf,1,32768
ncf-25,8908,ncf,1,32768
ncf-26,9779,ncf,1,32768
ncf-27,10428,ncf,1,32768
cifar10-28,10490,cifar10,6,2048
cifar10-29,10932,cifar10,6,2048
yolov3-30,11096,yolov3,4,64
ncf-31,11217,ncf,1,32768
ncf-32,11331,ncf,1,32768
cifar10-33,11515,cifar10,4,512
yolov3-34,11669,yolov3,4,64
cifar10-35,12733,cifar10,4,512
cifar10-36,12934,cifar10,6,2048
ncf-37,13317,ncf,1,32768
yolov3-38,13886,yolov3,4,64
ncf-39,14356,ncf,1,32768
