name,time,application,num_replicas,batch_size
ncf-0,133,ncf,1,32768
cifar10-1,1240,cifar10,6,2048
cifar10-2,1333,cifar10,6,2048
cifar10-3,1940,cifar10,4,512
bert-4,2512,bert,16,384
ncf-5,2630,ncf,1,32768
ncf-6,2750,ncf,1,32768
cifar10-7,3637,cifar10,4,512
bert-8,3711,bert,12,384
cifar10-9,3715,cifar10,6,2048
cifar10-10,3731,cifar10,4,512
ncf-11,3964,ncf,1,32768
ncf-12,4228,ncf,1,32768
cifar10-13,4827,cifar10,4,512
cifar10-14,5039,cifar10,4,512
ncf-15,5411,ncf,1,32768
cifar10-16,5531,cifar10,4,512
cifar10-17,5654,cifar10,6,2048
cifar10-18,5782,cifar10,6,2048
ncf-19,6098,ncf,1,32768
ncf-20,7332,ncf,1,32768
ncf-21,8271,ncf,1,32768
cifar10-22,8284,cifar10,4,512
cifar10-23,8333,cifar10,6,2048
cifar10-24,8583,cifar10,6,2048
cifar10-25,9733,cifar10,4,512
ncf-26,10155,ncf,1,32768
ncf-27,10691,ncf,1,32768
deepspeech2-28,10901,deepspeech2,6,320
ncf-29,11587,ncf,1,32768
yolov3-30,11596,yolov3,4,64
bert-31,11944,bert,8,384
ncf-32,11989,ncf,1,32768
cifar10-33,12107,cifar10,6,2048
ncf-34,12115,ncf,1,32768
imagenet-35,12372,imagenet,16,1600
cifar10-36,13330,cifar10,4,512
deepspeech2-37,13867,deepspeech2,8,320
cifar10-38,13932,cifar10,6,2048
ncf-39,14311,ncf,1,32768
