name,time,application,num_replicas,batch_size
bert-0,163.661794,bert,6,192
cifar10-1,314.661811,cifar10,6,4096
bert-2,328.661815,bert,12,384
cifar10-3,752.66187,cifar10,8,2048
deepspeech2-4,1205.66194,deepspeech2,8,640
cifar10-5,1433.661963,cifar10,8,4096
cifar10-6,1444.661991,cifar10,12,4096
cifar10-7,1451.662014,cifar10,6,4096
cifar10-8,1459.662044,cifar10,12,4096
cifar10-9,1468.662073,cifar10,8,4096
cifar10-10,1486.6621289999998,cifar10,4,4096
deepspeech2-11,1498.6621599999999,deepspeech2,6,320
bert-12,1757.662237,bert,16,192
bert-13,1777.662245,bert,6,384
cifar10-14,2321.662318,cifar10,8,2048
cifar10-15,2723.6623640000003,cifar10,6,2048
deepspeech2-16,2829.662376,deepspeech2,6,320
cifar10-17,3063.6624039999997,cifar10,16,2048
cifar10-18,3194.662443,cifar10,6,2048
deepspeech2-19,3489.662474,deepspeech2,12,640
cifar10-20,3541.6624810000003,cifar10,4,2048
cifar10-21,3787.662515,cifar10,10,4096
deepspeech2-22,3995.662554,deepspeech2,8,640
cifar10-23,4051.6625590000003,cifar10,10,2048
cifar10-24,4414.662633,cifar10,10,2048
cifar10-25,4440.662639,cifar10,10,4096
bert-26,4664.662668,bert,16,384
cifar10-27,5190.6627579999995,cifar10,6,4096
bert-28,5230.662773,bert,16,384
deepspeech2-29,5355.662838,deepspeech2,8,320
cifar10-30,5410.66286,cifar10,16,4096
bert-31,5457.662881,bert,12,192
deepspeech2-32,5485.662889,deepspeech2,6,640
cifar10-33,5793.662934,cifar10,16,2048
cifar10-34,5838.662937,cifar10,4,4096
cifar10-35,6026.662955,cifar10,16,4096
cifar10-36,6137.6629840000005,cifar10,8,2048
bert-37,6287.663012,bert,16,384
cifar10-38,6521.663039,cifar10,10,4096
cifar10-39,6569.663046,cifar10,4,2048
cifar10-40,6770.663079999999,cifar10,16,2048
bert-41,7315.663165999999,bert,8,384
yolov3-42,7351.663175,yolov3,4,256
cifar10-43,7575.663209,cifar10,16,4096
cifar10-44,8048.663298,cifar10,10,4096
cifar10-45,8212.663392,cifar10,10,4096
cifar10-46,9426.663586,cifar10,12,4096
yolov3-47,9640.66363,yolov3,4,512
deepspeech2-48,9905.66367,deepspeech2,6,320
cifar10-49,10007.663689,cifar10,4,4096
cifar10-50,10275.663727,cifar10,10,2048
cifar10-51,10326.66374,cifar10,8,4096
cifar10-52,10444.663779999999,cifar10,6,4096
deepspeech2-53,10926.663827,deepspeech2,12,640
deepspeech2-54,11074.663844,deepspeech2,8,640
deepspeech2-55,11088.663862000001,deepspeech2,8,320
bert-56,11120.663869,bert,8,384
bert-57,11159.663894,bert,12,192
cifar10-58,11246.663928,cifar10,16,2048
deepspeech2-59,11524.663977,deepspeech2,8,640
cifar10-60,11537.663986,cifar10,12,4096
bert-61,11572.664004,bert,12,192
deepspeech2-62,11577.664011,deepspeech2,8,640
deepspeech2-63,12577.664104000001,deepspeech2,6,320
cifar10-64,12653.66412,cifar10,6,4096
cifar10-65,12916.664156,cifar10,4,2048
cifar10-66,13312.664204,cifar10,12,2048
cifar10-67,13863.664284,cifar10,16,2048
cifar10-68,13923.66429,cifar10,12,2048
cifar10-69,14186.664333,cifar10,12,2048
cifar10-70,14368.664379,cifar10,8,4096
bert-71,14536.664402,bert,12,384
bert-72,14664.664428999999,bert,16,192
deepspeech2-73,14950.664487,deepspeech2,8,320
bert-74,14976.664491999998,bert,8,192
bert-75,15474.664552,bert,8,384
bert-76,15683.664586,bert,8,384
cifar10-77,15841.664616999999,cifar10,6,2048
bert-78,15989.664643,bert,16,384
bert-79,16263.664694,bert,12,192
deepspeech2-80,16352.664716999998,deepspeech2,12,320
deepspeech2-81,16354.664718,deepspeech2,12,640
deepspeech2-82,16558.664765,deepspeech2,6,320
bert-83,16681.664784,bert,16,384
bert-84,16750.664809,bert,8,384
cifar10-85,16795.664826,cifar10,16,4096
cifar10-86,16863.664848,cifar10,6,4096
deepspeech2-87,16931.664876,deepspeech2,8,640
bert-88,16955.664885,bert,12,384
bert-89,17000.664894,bert,16,192
deepspeech2-90,17050.664898,deepspeech2,12,640
bert-91,17140.664913,bert,8,384
bert-92,17157.664919,bert,16,192
cifar10-93,17401.664966999997,cifar10,6,2048
bert-94,17427.664976,bert,6,384
cifar10-95,17442.664981,cifar10,8,2048
deepspeech2-96,17591.665019,deepspeech2,6,320
bert-97,17664.665034999998,bert,6,384
bert-98,17719.665041,bert,6,384
bert-99,17785.665063,bert,6,192
cifar10-100,18002.665094,cifar10,4,4096
deepspeech2-101,18034.665101,deepspeech2,8,320
cifar10-102,18035.665104,cifar10,16,2048
cifar10-103,18102.665119999998,cifar10,4,4096
bert-104,18274.665155000002,bert,16,192
cifar10-105,18433.665196,cifar10,8,2048
cifar10-106,18463.665258,cifar10,16,2048
deepspeech2-107,18639.665334,deepspeech2,8,640
cifar10-108,18672.665344999998,cifar10,4,4096
cifar10-109,18834.665380000002,cifar10,12,2048
cifar10-110,19932.665627000002,cifar10,6,4096
bert-111,19958.665634,bert,6,192
cifar10-112,19971.665655,cifar10,8,2048
cifar10-113,19971.665655,cifar10,16,2048
cifar10-114,20239.665766,cifar10,12,2048
cifar10-115,20260.665788,cifar10,4,2048
cifar10-116,20420.665825,cifar10,10,4096
cifar10-117,20770.665963,cifar10,12,2048
cifar10-118,20812.665978,cifar10,8,4096
cifar10-119,21069.666095,cifar10,6,2048
cifar10-120,21127.666105,cifar10,12,4096
cifar10-121,21256.666134,cifar10,6,4096
cifar10-122,21324.666176,cifar10,10,4096
cifar10-123,21340.666191999997,cifar10,4,4096
cifar10-124,21349.666203,cifar10,12,4096
cifar10-125,21356.666205,cifar10,6,2048
deepspeech2-126,21463.666234,deepspeech2,8,640
yolov3-127,21632.666265,yolov3,4,512
cifar10-128,21663.666275,cifar10,12,4096
cifar10-129,21749.666302,cifar10,10,4096
cifar10-130,21889.666332,cifar10,10,2048
deepspeech2-131,22025.666362,deepspeech2,8,640
cifar10-132,22054.666372,cifar10,12,4096
cifar10-133,22065.666384,cifar10,12,2048
cifar10-134,22101.666404,cifar10,6,2048
cifar10-135,22116.666406,cifar10,6,4096
cifar10-136,22322.666502,cifar10,8,2048
cifar10-137,22530.666588,cifar10,12,2048
bert-138,22883.666671,bert,16,192
cifar10-139,22884.666672,cifar10,16,2048
bert-140,23009.666705,bert,12,384
bert-141,23035.666711,bert,6,384
bert-142,23150.666731999998,bert,12,192
bert-143,23762.666883,bert,6,192
cifar10-144,23787.666891,cifar10,16,4096
cifar10-145,23839.6669,cifar10,6,2048
cifar10-146,24058.666948,cifar10,6,4096
deepspeech2-147,24226.666984,deepspeech2,6,640
cifar10-148,24252.666995,cifar10,6,4096
deepspeech2-149,24343.667022,deepspeech2,8,640
cifar10-150,24371.667031,cifar10,16,2048
cifar10-151,24377.667035,cifar10,10,2048
cifar10-152,24379.667038,cifar10,8,2048
cifar10-153,24438.667061,cifar10,8,4096
cifar10-154,24467.667067,cifar10,12,2048
cifar10-155,24473.667068000002,cifar10,8,4096
cifar10-156,24478.667069,cifar10,16,4096
cifar10-157,24521.667088,cifar10,4,4096
cifar10-158,24656.667127,cifar10,10,2048
cifar10-159,24866.667183,cifar10,12,4096
cifar10-160,24876.667198,cifar10,4,2048
bert-161,24955.667222,bert,12,192
bert-162,25001.667235,bert,8,384
cifar10-163,25095.667255,cifar10,12,2048
cifar10-164,25160.667266999997,cifar10,12,4096
cifar10-165,25237.667293000002,cifar10,6,4096
cifar10-166,25294.667311,cifar10,8,2048
bert-167,25778.66749,bert,8,192
cifar10-168,25793.667513999997,cifar10,6,4096
cifar10-169,25853.667569,cifar10,4,2048
cifar10-170,26209.667632,cifar10,16,4096
cifar10-171,26242.667646,cifar10,8,2048
cifar10-172,26291.667665,cifar10,12,4096
cifar10-173,26293.667666,cifar10,10,2048
cifar10-174,26297.667678,cifar10,12,4096
bert-175,26393.667717,bert,8,192
bert-176,26414.667722,bert,16,384
cifar10-177,26446.667731,cifar10,6,2048
bert-178,26488.667737,bert,6,192
cifar10-179,26614.667806,cifar10,8,2048
bert-180,26791.667893,bert,6,384
cifar10-181,26882.667904,cifar10,12,2048
bert-182,26948.667914999998,bert,8,384
deepspeech2-183,26949.667916000002,deepspeech2,6,320
bert-184,26989.667926,bert,16,384
cifar10-185,26990.667933999997,cifar10,6,2048
cifar10-186,26991.667935,cifar10,6,2048
cifar10-187,27004.667945999998,cifar10,8,2048
cifar10-188,27008.66795,cifar10,8,2048
cifar10-189,27093.668007,cifar10,12,2048
cifar10-190,27096.66801,cifar10,16,4096
cifar10-191,27107.668020999998,cifar10,10,2048
