name,time,application,num_replicas,batch_size
bert-0,360.66182200000003,bert,6,192
bert-1,398.661824,bert,6,384
deepspeech2-2,713.661866,deepspeech2,12,640
deepspeech2-3,811.6618900000001,deepspeech2,6,320
cifar10-4,1017.661925,cifar10,6,4096
bert-5,1451.662018,bert,8,384
cifar10-6,1452.662023,cifar10,12,4096
cifar10-7,1459.662045,cifar10,6,4096
cifar10-8,1469.662075,cifar10,8,4096
bert-9,1592.662198,bert,8,384
cifar10-10,1743.6622280000001,cifar10,6,4096
deepspeech2-11,1753.6622329999998,deepspeech2,8,320
cifar10-12,1760.662239,cifar10,4,2048
cifar10-13,1810.6622530000002,cifar10,6,4096
cifar10-14,1964.66227,cifar10,8,2048
deepspeech2-15,1994.66228,deepspeech2,12,320
cifar10-16,2087.662292,cifar10,16,2048
cifar10-17,2816.662372,cifar10,4,2048
cifar10-18,3102.662411,cifar10,8,2048
cifar10-19,3147.66242,cifar10,12,4096
cifar10-20,3305.662455,cifar10,12,2048
cifar10-21,3498.6624770000003,cifar10,10,4096
bert-22,3606.6624909999996,bert,12,384
cifar10-23,3784.662514,cifar10,6,2048
cifar10-24,3796.662519,cifar10,16,2048
deepspeech2-25,3800.6625200000003,deepspeech2,6,640
cifar10-26,3808.662522,cifar10,6,4096
cifar10-27,4229.662607,cifar10,16,4096
deepspeech2-28,4551.662651,deepspeech2,12,640
cifar10-29,4625.662658,cifar10,8,2048
cifar10-30,4721.662675,cifar10,10,4096
cifar10-31,4821.662698,cifar10,6,2048
yolov3-32,4855.662703,yolov3,4,512
deepspeech2-33,5120.662729,deepspeech2,8,320
cifar10-34,5154.662741,cifar10,12,4096
cifar10-35,5309.662816,cifar10,10,4096
bert-36,5490.66289,bert,6,192
deepspeech2-37,5628.66291,deepspeech2,12,640
cifar10-38,5686.662915999999,cifar10,10,4096
cifar10-39,6124.662971,cifar10,6,2048
deepspeech2-40,6735.663073000001,deepspeech2,12,320
deepspeech2-41,6805.663081000001,deepspeech2,8,640
deepspeech2-42,7219.663143000001,deepspeech2,6,320
bert-43,7229.663147,bert,8,384
cifar10-44,7347.663173000001,cifar10,4,4096
bert-45,7715.663228,bert,16,384
bert-46,7816.663237000001,bert,16,384
cifar10-47,8026.663269,cifar10,10,4096
deepspeech2-48,8059.663318999999,deepspeech2,12,320
deepspeech2-49,8067.663329000001,deepspeech2,8,640
cifar10-50,8071.663339,cifar10,4,2048
deepspeech2-51,8072.663344,deepspeech2,8,640
deepspeech2-52,8402.663409,deepspeech2,6,640
cifar10-53,8635.663476,cifar10,6,4096
cifar10-54,8719.663496,cifar10,12,4096
yolov3-55,8853.663518000001,yolov3,4,256
deepspeech2-56,8918.663522,deepspeech2,8,640
cifar10-57,9433.663595,cifar10,10,2048
cifar10-58,9440.663605,cifar10,12,2048
cifar10-59,10133.663703,cifar10,10,4096
cifar10-60,10209.663718000002,cifar10,12,4096
cifar10-61,10410.663762,cifar10,6,2048
cifar10-62,10414.663762999999,cifar10,4,4096
cifar10-63,10565.663803,cifar10,10,2048
deepspeech2-64,11081.663856000001,deepspeech2,12,640
bert-65,11192.663909,bert,16,192
bert-66,11197.663916,bert,6,192
bert-67,11200.66392,bert,8,192
bert-68,11506.663973,bert,12,192
cifar10-69,11536.663981,cifar10,8,2048
bert-70,11539.663989,bert,12,384
bert-71,11544.663995,bert,12,384
bert-72,11575.664008,bert,6,192
cifar10-73,11826.664054,cifar10,8,2048
cifar10-74,12114.664074,cifar10,12,2048
deepspeech2-75,12255.664083,deepspeech2,12,640
cifar10-76,12266.664084,cifar10,6,4096
cifar10-77,12285.664087000001,cifar10,6,2048
cifar10-78,12600.664105,cifar10,12,4096
cifar10-79,12641.664112999999,cifar10,6,2048
bert-80,12892.664146,bert,6,192
