name,time,application,num_replicas,batch_size
bert-0,320.661812,bert,6,192
cifar10-1,710.6618639999999,cifar10,6,4096
cifar10-2,921.661907,cifar10,8,4096
cifar10-3,1170.661936,cifar10,6,2048
cifar10-4,1444.66199,cifar10,16,4096
deepspeech2-5,1444.661994,deepspeech2,8,640
cifar10-6,1446.661999,cifar10,8,4096
bert-7,1454.6620289999998,bert,12,384
cifar10-8,1457.662036,cifar10,12,4096
cifar10-9,1460.662049,cifar10,16,4096
bert-10,1464.6620580000001,bert,6,384
cifar10-11,1469.662074,cifar10,4,2048
cifar10-12,1478.662104,cifar10,8,2048
cifar10-13,1488.662136,cifar10,6,4096
cifar10-14,1490.6621400000001,cifar10,4,2048
bert-15,1708.6622170000003,bert,8,192
deepspeech2-16,1762.6622399999999,deepspeech2,12,320
cifar10-17,1800.6622510000002,cifar10,10,2048
bert-18,2120.662297,bert,8,192
cifar10-19,2135.6623010000003,cifar10,10,4096
cifar10-20,2181.662309,cifar10,10,2048
cifar10-21,2304.6623170000003,cifar10,10,4096
imagenet-22,3498.662475,imagenet,10,12800
deepspeech2-23,3552.6624829999996,deepspeech2,8,320
cifar10-24,3691.662499,cifar10,4,2048
bert-25,3701.662499,bert,6,384
cifar10-26,4212.6626,cifar10,10,4096
deepspeech2-27,4433.662636999999,deepspeech2,12,640
bert-28,4694.662673,bert,12,384
cifar10-29,4825.662699,cifar10,16,2048
cifar10-30,4945.662708,cifar10,12,4096
deepspeech2-31,5239.662774,deepspeech2,6,320
cifar10-32,5277.662792,cifar10,8,4096
cifar10-33,5296.662803,cifar10,4,2048
deepspeech2-34,5318.662821,deepspeech2,12,640
cifar10-35,5340.662828,cifar10,6,4096
cifar10-36,5510.6629,cifar10,10,2048
cifar10-37,5718.6629219999995,cifar10,6,4096
cifar10-38,6161.662998,cifar10,10,4096
deepspeech2-39,6178.663002,deepspeech2,6,320
deepspeech2-40,6664.663063,deepspeech2,12,320
yolov3-41,6949.663116,yolov3,4,512
cifar10-42,7310.663162999999,cifar10,16,2048
cifar10-43,7319.663170000001,cifar10,8,4096
yolov3-44,7521.663199,yolov3,4,512
bert-45,8036.663284,bert,8,384
cifar10-46,8053.663311,cifar10,12,4096
cifar10-47,8075.6633489999995,cifar10,4,4096
cifar10-48,8092.663367,cifar10,8,2048
cifar10-49,8171.663381,cifar10,10,4096
cifar10-50,9081.663536,cifar10,16,2048
cifar10-51,9240.663561,cifar10,8,4096
cifar10-52,9262.663565,cifar10,6,4096
cifar10-53,9451.663606,cifar10,6,4096
yolov3-54,9635.663623999999,yolov3,4,512
cifar10-55,9998.663687,cifar10,12,2048
cifar10-56,10348.663747,cifar10,4,4096
cifar10-57,10444.663779,cifar10,8,2048
cifar10-58,10888.663817,cifar10,4,2048
deepspeech2-59,11079.663851000001,deepspeech2,12,640
deepspeech2-60,11081.663854999999,deepspeech2,6,640
deepspeech2-61,11120.663869,deepspeech2,8,320
cifar10-62,11121.66387,cifar10,8,4096
deepspeech2-63,11125.663876999999,deepspeech2,12,320
bert-64,11851.664063,bert,6,384
cifar10-65,12274.664086,cifar10,16,2048
bert-66,12285.664088,bert,16,192
deepspeech2-67,12577.664104000001,deepspeech2,12,320
cifar10-68,13600.664247,cifar10,4,2048
yolov3-69,13686.664258,yolov3,4,256
bert-70,13924.664291,bert,16,384
cifar10-71,14047.664309,cifar10,4,4096
cifar10-72,14116.664321,cifar10,12,2048
bert-73,14430.664386000002,bert,16,192
bert-74,14842.664471,bert,8,192
bert-75,14933.664483,bert,16,384
bert-76,15333.664534,bert,6,384
bert-77,15449.664546,bert,6,192
bert-78,15502.664553999999,bert,8,384
deepspeech2-79,15624.664578,deepspeech2,6,320
cifar10-80,16056.664656,cifar10,12,2048
cifar10-81,16234.664691999998,cifar10,4,4096
cifar10-82,16403.664729,cifar10,6,2048
cifar10-83,16646.664777,cifar10,10,4096
cifar10-84,16798.664831000002,cifar10,16,4096
cifar10-85,16804.664837,cifar10,6,4096
cifar10-86,16902.664865,cifar10,16,4096
cifar10-87,16944.664884,cifar10,12,4096
cifar10-88,16961.664886000002,cifar10,8,4096
cifar10-89,17099.664906,cifar10,12,2048
cifar10-90,17522.665004,cifar10,10,4096
deepspeech2-91,17675.665036000002,deepspeech2,12,640
deepspeech2-92,17734.665044,deepspeech2,8,320
deepspeech2-93,18147.665132,deepspeech2,12,320
deepspeech2-94,18274.665155000002,deepspeech2,6,640
cifar10-95,18432.665193,cifar10,8,2048
cifar10-96,18435.665203,cifar10,6,2048
cifar10-97,18447.665225999997,cifar10,4,4096
cifar10-98,18468.665267,cifar10,12,4096
cifar10-99,18470.665275,cifar10,6,2048
cifar10-100,18602.665328,cifar10,16,4096
cifar10-101,18651.665338,cifar10,10,2048
deepspeech2-102,18700.665352,deepspeech2,6,320
cifar10-103,18731.665358000002,cifar10,16,4096
cifar10-104,18822.665378,cifar10,8,2048
deepspeech2-105,18920.665401,deepspeech2,8,320
bert-106,18955.665414,bert,16,192
cifar10-107,19090.665447,cifar10,8,4096
deepspeech2-108,19383.665498,deepspeech2,12,640
cifar10-109,19910.665617,cifar10,12,2048
cifar10-110,19917.66562,cifar10,12,4096
cifar10-111,19963.665637000002,cifar10,10,2048
cifar10-112,19967.665644999997,cifar10,12,2048
cifar10-113,19971.665656,cifar10,6,2048
cifar10-114,19971.66566,cifar10,6,2048
cifar10-115,19986.665677,cifar10,8,2048
cifar10-116,20555.665871,cifar10,8,4096
deepspeech2-117,20700.665899,deepspeech2,12,320
cifar10-118,20719.665902,cifar10,8,4096
cifar10-119,20731.66592,cifar10,6,2048
cifar10-120,20914.66602,cifar10,6,4096
cifar10-121,20927.66603,cifar10,10,4096
cifar10-122,20941.666044999998,cifar10,8,4096
bert-123,21071.666096,bert,12,384
cifar10-124,21131.666106,cifar10,4,4096
imagenet-125,21165.666114,imagenet,12,6400
bert-126,21293.666138999997,bert,6,384
cifar10-127,21331.666186000002,cifar10,12,4096
cifar10-128,21430.666219,cifar10,4,4096
deepspeech2-129,21883.666329,deepspeech2,6,640
cifar10-130,22051.666371,cifar10,6,2048
cifar10-131,22064.666381,cifar10,8,4096
cifar10-132,22068.666386,cifar10,4,4096
cifar10-133,22245.666476,cifar10,8,2048
cifar10-134,22326.666509,cifar10,12,2048
cifar10-135,22330.666513,cifar10,16,4096
cifar10-136,22333.666521,cifar10,10,2048
cifar10-137,22333.666523,cifar10,12,2048
cifar10-138,22354.666547,cifar10,6,2048
cifar10-139,22624.666608,cifar10,8,2048
cifar10-140,22677.666621,cifar10,8,4096
deepspeech2-141,22751.666638,deepspeech2,6,640
cifar10-142,22969.666690000002,cifar10,12,2048
deepspeech2-143,23118.666726,deepspeech2,6,320
cifar10-144,23321.666763,cifar10,10,4096
cifar10-145,23636.666841,cifar10,12,2048
deepspeech2-146,23650.666846,deepspeech2,6,640
yolov3-147,23744.666879,yolov3,4,512
cifar10-148,23761.666881999998,cifar10,12,4096
bert-149,23880.666908000003,bert,8,384
cifar10-150,23891.666912,cifar10,10,2048
bert-151,23910.666917,bert,12,192
cifar10-152,23917.666919,cifar10,12,2048
cifar10-153,24036.666941,cifar10,16,4096
bert-154,24068.66695,bert,8,192
cifar10-155,24252.666994,cifar10,6,4096
cifar10-156,24311.667014,cifar10,4,4096
cifar10-157,24324.667019,cifar10,10,4096
cifar10-158,24478.667069,cifar10,6,2048
deepspeech2-159,24593.667106,deepspeech2,8,640
deepspeech2-160,24614.667115,deepspeech2,12,320
cifar10-161,24623.667119,cifar10,10,2048
cifar10-162,24650.667125,cifar10,6,4096
bert-163,24729.66714,bert,12,192
deepspeech2-164,24757.667146,deepspeech2,6,640
cifar10-165,24868.667186000002,cifar10,12,4096
deepspeech2-166,25512.667377,deepspeech2,6,320
yolov3-167,25606.667408,yolov3,4,256
cifar10-168,25779.667492,cifar10,10,4096
bert-169,26177.667625,bert,16,192
cifar10-170,26231.66764,cifar10,8,4096
cifar10-171,26285.667654,cifar10,8,2048
cifar10-172,26317.667702000002,cifar10,6,4096
bert-173,26501.667756,bert,8,192
cifar10-174,26556.66777,cifar10,8,4096
cifar10-175,26596.667784999998,cifar10,12,2048
cifar10-176,26759.667881,cifar10,6,4096
deepspeech2-177,26878.667901999997,deepspeech2,12,320
cifar10-178,26920.667910000004,cifar10,12,2048
cifar10-179,27006.667949000002,cifar10,12,2048
cifar10-180,27028.667959,cifar10,8,4096
cifar10-181,27080.667993,cifar10,8,2048
cifar10-182,27173.668041,cifar10,4,4096
cifar10-183,27292.668132,cifar10,10,2048
cifar10-184,27304.668136,cifar10,12,4096
cifar10-185,27326.668164,cifar10,16,2048
cifar10-186,27349.668192,cifar10,4,2048
deepspeech2-187,27446.668223,deepspeech2,6,320
cifar10-188,27551.668242000003,cifar10,8,2048
cifar10-189,27779.668295,cifar10,6,2048
cifar10-190,27797.6683,cifar10,8,4096
cifar10-191,27888.668318,cifar10,12,2048
bert-192,27896.668319999997,bert,8,192
bert-193,27897.668320999997,bert,8,384
cifar10-194,27937.668327999996,cifar10,6,2048
cifar10-195,28063.668358,cifar10,10,2048
deepspeech2-196,28129.668373,deepspeech2,8,320
cifar10-197,28449.668438999997,cifar10,12,4096
deepspeech2-198,28459.668456,deepspeech2,6,320
bert-199,28551.668518000002,bert,16,192
deepspeech2-200,28553.668519,deepspeech2,8,640
cifar10-201,28561.668528,cifar10,8,2048
bert-202,28567.668533999997,bert,16,384
bert-203,28570.668537,bert,8,192
cifar10-204,28576.668544,cifar10,16,2048
deepspeech2-205,28581.668552,deepspeech2,6,640
cifar10-206,28591.668566000004,cifar10,10,4096
deepspeech2-207,28598.668568,deepspeech2,8,320
bert-208,28674.668648000003,bert,16,192
cifar10-209,28695.668675,cifar10,4,2048
deepspeech2-210,28751.668738,deepspeech2,8,640
cifar10-211,28801.668789999996,cifar10,10,4096
bert-212,29213.668884,bert,8,192
cifar10-213,29287.668897000003,cifar10,4,2048
deepspeech2-214,29484.668942,deepspeech2,6,320
cifar10-215,29508.668948000002,cifar10,12,2048
cifar10-216,29523.668951,cifar10,16,2048
deepspeech2-217,29541.668971,deepspeech2,12,640
yolov3-218,29565.669020999998,yolov3,4,256
deepspeech2-219,29752.6691,deepspeech2,8,640
cifar10-220,29776.669105,cifar10,16,2048
bert-221,29802.669114,bert,12,192
cifar10-222,30085.669169999997,cifar10,16,2048
bert-223,30472.669251,bert,12,384
cifar10-224,30493.669252999996,cifar10,8,4096
cifar10-225,30594.669276999997,cifar10,6,4096
deepspeech2-226,30994.669343999998,deepspeech2,6,320
cifar10-227,31068.669352999997,cifar10,12,2048
deepspeech2-228,31242.66939,deepspeech2,6,640
bert-229,31313.669406999998,bert,12,384
bert-230,31405.669421,bert,6,384
cifar10-231,32254.669564,cifar10,12,4096
cifar10-232,32314.669575,cifar10,12,2048
deepspeech2-233,32499.669635000002,deepspeech2,8,320
bert-234,32794.669679,bert,8,192
bert-235,32876.669693,bert,16,384
cifar10-236,32949.669713,cifar10,10,4096
deepspeech2-237,33118.669739,deepspeech2,12,320
deepspeech2-238,33120.66974,deepspeech2,8,640
bert-239,33233.669761000005,bert,6,192
yolov3-240,33548.669836,yolov3,4,256
cifar10-241,33574.669844,cifar10,16,4096
cifar10-242,33969.669923,cifar10,8,2048
bert-243,34059.669945,bert,12,384
cifar10-244,34101.669953,cifar10,16,4096
