name,time,application,num_replicas,batch_size
cifar10-0,143,cifar10,4,2048
deepspeech2-1,413,deepspeech2,4,640
deepspeech2-2,543,deepspeech2,8,640
cifar10-3,1280,cifar10,6,2048
cifar10-4,1893,cifar10,4,4096
cifar10-5,2228,cifar10,6,4096
ncf-6,3108,ncf,1,32768
ncf-7,3157,ncf,1,32768
bert-8,3166,bert,12,384
ncf-9,3189,ncf,1,32768
ncf-10,3621,ncf,1,32768
cifar10-11,3871,cifar10,4,2048
deepspeech2-12,4093,deepspeech2,6,320
cifar10-13,4137,cifar10,6,4096
ncf-14,4468,ncf,1,16384
cifar10-15,4794,cifar10,6,2048
ncf-16,4968,ncf,1,16384
cifar10-17,5379,cifar10,6,2048
cifar10-18,5594,cifar10,6,2048
cifar10-19,6206,cifar10,4,4096
ncf-20,6539,ncf,1,16384
cifar10-21,6996,cifar10,6,4096
cifar10-22,8279,cifar10,6,4096
cifar10-23,8314,cifar10,6,2048
ncf-24,8485,ncf,1,16384
yolov3-25,8706,yolov3,4,512
cifar10-26,9072,cifar10,6,4096
ncf-27,9513,ncf,1,32768
cifar10-28,10640,cifar10,6,4096
ncf-29,10742,ncf,1,16384
ncf-30,10966,ncf,1,32768
ncf-31,11121,ncf,1,16384
cifar10-32,11610,cifar10,4,4096
cifar10-33,12384,cifar10,6,2048
yolov3-34,12493,yolov3,4,512
ncf-35,12692,ncf,1,32768
ncf-36,13829,ncf,1,16384
ncf-37,13989,ncf,1,32768
cifar10-38,14095,cifar10,6,4096
ncf-39,14194,ncf,1,16384
