name,time,application,num_replicas,batch_size
ncf-0,893,ncf,1,16384
ncf-1,923,ncf,1,32768
ncf-2,1187,ncf,1,32768
ncf-3,1460,ncf,1,16384
ncf-4,1509,ncf,1,32768
cifar10-5,1526,cifar10,6,4096
cifar10-6,1582,cifar10,6,4096
cifar10-7,1604,cifar10,6,4096
ncf-8,1879,ncf,1,32768
cifar10-9,1901,cifar10,6,4096
ncf-10,1902,ncf,1,32768
ncf-11,2165,ncf,1,16384
ncf-12,2225,ncf,1,16384
ncf-13,3116,ncf,1,32768
ncf-14,3646,ncf,1,16384
ncf-15,3731,ncf,1,16384
ncf-16,4325,ncf,1,16384
ncf-17,4893,ncf,1,16384
deepspeech2-18,5700,deepspeech2,6,320
ncf-19,6103,ncf,1,32768
ncf-20,6606,ncf,1,16384
ncf-21,6715,ncf,1,32768
cifar10-22,6715,cifar10,6,4096
cifar10-23,6782,cifar10,4,2048
ncf-24,7602,ncf,1,16384
cifar10-25,8437,cifar10,4,4096
deepspeech2-26,9243,deepspeech2,6,640
deepspeech2-27,9984,deepspeech2,4,640
yolov3-28,10319,yolov3,4,512
bert-29,10701,bert,16,192
ncf-30,11171,ncf,1,32768
bert-31,11805,bert,6,192
deepspeech2-32,12047,deepspeech2,6,640
yolov3-33,12210,yolov3,4,256
ncf-34,12517,ncf,1,32768
ncf-35,12606,ncf,1,32768
cifar10-36,12790,cifar10,6,2048
deepspeech2-37,13755,deepspeech2,6,640
cifar10-38,14223,cifar10,4,4096
ncf-39,14245,ncf,1,16384
