name,time,application,num_replicas,batch_size
deepspeech2-0,451,deepspeech2,4,320
ncf-1,731,ncf,1,32768
bert-2,870,bert,8,384
ncf-3,1659,ncf,1,16384
ncf-4,2399,ncf,1,32768
cifar10-5,3703,cifar10,4,4096
cifar10-6,3711,cifar10,4,4096
cifar10-7,3715,cifar10,4,4096
cifar10-8,3866,cifar10,6,4096
cifar10-9,4125,cifar10,6,4096
ncf-10,4202,ncf,1,32768
cifar10-11,4428,cifar10,6,2048
cifar10-12,4730,cifar10,4,2048
cifar10-13,4776,cifar10,6,4096
cifar10-14,4879,cifar10,4,2048
ncf-15,5533,ncf,1,16384
deepspeech2-16,5675,deepspeech2,8,320
ncf-17,6125,ncf,1,16384
bert-18,6258,bert,16,192
cifar10-19,6379,cifar10,6,4096
cifar10-20,6730,cifar10,6,2048
cifar10-21,7315,cifar10,4,4096
cifar10-22,7332,cifar10,6,4096
cifar10-23,7968,cifar10,4,2048
cifar10-24,8380,cifar10,4,2048
cifar10-25,8910,cifar10,4,4096
ncf-26,9114,ncf,1,32768
ncf-27,9275,ncf,1,32768
ncf-28,9390,ncf,1,32768
cifar10-29,10449,cifar10,6,2048
deepspeech2-30,11070,deepspeech2,6,640
bert-31,11337,bert,16,192
cifar10-32,12132,cifar10,6,4096
ncf-33,12531,ncf,1,16384
ncf-34,12838,ncf,1,32768
cifar10-35,13314,cifar10,4,4096
deepspeech2-36,13710,deepspeech2,6,320
deepspeech2-37,13730,deepspeech2,4,640
bert-38,13778,bert,12,384
ncf-39,13918,ncf,1,16384
